statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
North Carolina,"[-79.530029296875,35.55010533588552]",18,United Arab Emirates,"[54.4921875,23.75518176611264]",162.2,175.14,240.93,429.17,0.5527,0.5574,0.7977,1.4229,78.13
Rhode Island,"[-71.575927734375,41.668808555620586]",11,Turkey,"[35.859375,39.36827914916014]",162.08,124.19,131.94,64.04,7.4894,5.1993,6.1865,2.8116,-51.46
Utah,"[-111.6046142578125, 39.24501680713314]",13,Australia,"[134.560546875,-25.641526373065755]",161.56,184.28,190.52,189.49,1.0028,1.5075,1.4316,1.5689,-0.54
Arkansas,"[-92.28515625,35.06597313798418]",8,Australia,"[134.560546875,-25.641526373065755]",161.47,90.47,89.28,144.77,2.2549,1.3176,1.5211,2.5365,62.15
Connecticut,"[-72.6800537109375,41.67086022030498]",22,Australia,"[134.560546875,-25.641526373065755]",160.96,104.89,104.43,113.98,0.9799,0.6571,0.6851,0.7918,9.15
Nevada,"[-116.8505859375,39.45316112807394]",9,"Korea, South","[128.056640625,36.527294814546245]",158.98,97.4,91.1,138.48,1.8271,1.2662,1.0512,1.4184,52.01
Indiana,"[-86.15478515625,39.85072092501597]",24,Switzerland,"[8.3880615234375,46.76620587423741]",158.61,169.9,309.18,176.89,0.4636,0.4774,0.9142,0.5104,-42.79
Oklahoma,"[-97.49267578125,35.65729624809628]",20,Russia,"[97.03125,61.77312286453146]",158.54,115.48,39.09,43.83,2.2911,1.8306,0.7444,0.8682,12.12
Virginia,"[-78.62091064453125, 37.67077737288316]",25,United Arab Emirates,"[54.4921875,23.75518176611264]",158.08,215.56,156.73,134.85,0.8833,1.1117,0.8804,0.8266,-13.96
New Hampshire,"[-71.575927734375,43.68773584519811]",14,Hong Kong,"[114.13970947265625,22.403410892712124]",157.39,185,202.78,124.21,4.4827,4.3701,5.0677,2.998,-38.75
Maryland,"[-76.83425903320312,39.470125122358176]",21,Italy,"[13.0078125,42.5530802889558]",157.34,136.9,136.44,115.05,1.3395,1.1195,1.3573,1.1912,-15.68
Missouri,"[-92.515869140625,38.151837403006766]",14,India,"[78.662109375,22.228090416784486]",157.34,164.91,122.43,128.07,1.2142,1.1622,0.8971,0.9191,4.61
Tennessee,"[-85.98175048828124, 35.980228800645676]",22,Vietnam,"[108.43505859374999,14.32825967774278]",157.02,141.3,252.14,245.61,0.4835,0.425,0.7737,0.7814,-2.59
Arizona,"[-112.093505859375,33.44977658311846]",22,Israel,"[34.87060546875,31.09998179374943]",156.45,236.6,252.75,220.69,0.8032,1.1135,1.1156,1.0024,-12.69
New Jersey,"[-74.48181152343749,40.136890695345905]",23,Dominican Republic,"[-70.18615722656249,18.92707243132612]",155.92,118.63,145.03,250.15,0.4259,0.3243,0.4523,0.8012,72.49
Utah,"[-111.6046142578125, 39.24501680713314]",24,Philippines,"[122.87109375,11.39387923296741]",155.52,164.22,112.56,47.76,0.9653,1.3434,0.8458,0.3955,-57.57
North Carolina,"[-79.530029296875,35.55010533588552]",20,Spain,"[-3.076171875,40.27952566881291]",155.47,219.36,328.24,364.1,0.5298,0.6981,1.0868,1.2072,10.92
Mississippi,"[-90.010986328125,32.8149783969858]",19,"Korea, South","[128.056640625,36.527294814546245]",155.09,125.26,136.88,123.05,1.2492,1.0907,1.2618,1.1725,-10.11
Kentucky,"[-85.26489257812499,37.501010429493284]",20,Spain,"[-3.076171875,40.27952566881291]",153.27,142.64,144.56,174.25,0.6032,0.5139,0.5229,0.5968,20.54
Vermont,"[-72.740478515625, 44.03824429423549]",11,Japan,"[138.8671875,36.4566360115962]",153.22,111.39,81.27,56.82,3.8053,3.0355,2.5544,1.9006,-30.08
Arkansas,"[-92.28515625,35.06597313798418]",9,United Kingdom,"[-2.0654296875,54.16243396806779]",152.45,170.64,169.63,142.82,2.1289,2.4852,2.8901,2.5023,-15.81
